"Time"	alkB	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0	1.0000000	0.4854963	0.0612696	0.0317903	0.2493699	0.6268868	0.2795064	0.2410857	0.9454080
50	0.7810593	0.6603479	0.0001476	0.0638579	0.0774207	0.5281603	0.2029816	0.1220655	0.7886458
100	0.6992513	0.7211094	0.0016907	0.0340579	0.0200402	0.6139773	0.2852325	0.1657041	0.7996716
150	0.8087041	0.7712288	0.0003361	0.0285297	0.0531294	0.7569755	0.1889657	0.0851966	0.6983721
200	0.7281801	0.7791806	0.0007940	0.0079061	0.0375191	0.7062910	0.2958401	0.1103726	0.7677909
250	0.6532818	0.7899902	0.0009462	0.0325547	0.0142862	0.7464487	0.3800063	0.1598171	0.6077140
300	0.7992947	0.7623148	0.0008262	0.0206568	0.0198804	0.6960024	0.3290087	0.1646987	0.8300586
350	0.8504141	0.6965124	0.0000966	0.0131665	0.0442836	0.6707660	0.3247904	0.1540408	0.7645177
400	0.8476337	0.8439022	0.0029681	0.0136701	0.0552272	0.8550840	0.3002979	0.0737921	0.6565649
450	0.7016964	0.8294085	0.0001523	0.0063647	0.0231734	0.6216901	0.2549194	0.0788211	0.7152584
500	0.7101191	0.6275344	0.0001310	0.0289906	0.0265265	0.6557926	0.2294436	0.1125251	0.6753561
550	0.6908732	0.7259311	0.0699126	0.0314869	0.2230398	0.6828993	0.4231658	0.1422367	0.6395980
600	0.7392576	0.7250709	0.0328175	0.0542437	0.2095566	0.7393520	0.2378079	0.1892529	0.7985183
650	0.6382317	0.5824726	0.0513342	0.0536173	0.1968388	0.5426734	0.2495769	0.1247088	0.7304055
700	0.7757525	0.5734275	0.0244595	0.0831648	0.2835641	0.7147094	0.1404915	0.1314990	0.7175861
750	0.7117685	0.5042564	0.0524727	0.1095084	0.2412738	0.6423248	0.2366151	0.1623933	0.6956936
800	0.6737684	0.5097091	0.0551516	0.0554791	0.2747917	0.7785825	0.2216985	0.0971155	0.7889876
850	0.7268621	0.5345860	0.0516614	0.0418185	0.2318334	0.7375533	0.2886883	0.1817655	0.7401967
900	0.8359403	0.4938782	0.0326435	0.0693122	0.2504756	0.6820967	0.3868649	0.2319909	0.6830256
950	0.6948530	0.5481229	0.0220488	0.0886584	0.2600802	0.6979906	0.3594968	0.2404275	0.7210941
1000	0.8221186	0.5566335	0.0582956	0.0752902	0.2627284	0.7514391	0.3893797	0.2244081	0.7414298

0	0.6707644	0.4979441	0.1227866	0.0661041	0.2187877	0.7650907	0.2872561	0.1930003	0.8078526
50	0.6292968	0.5415146	0.0035809	0.0397631	0.2104503	0.6339604	0.2454032	0.1494608	0.6711912
100	0.6168242	0.7356447	0.0103083	0.0488892	0.2462391	0.8419965	0.3845093	0.1275961	0.6858172
150	0.6801758	0.6528686	0.0049663	0.0665213	0.4055325	0.5881896	0.2975990	0.2007816	0.7491100
200	0.6937984	0.8391849	0.0113046	0.0801621	0.2359601	0.7296800	0.2627220	0.1394172	0.6876783
250	0.6443047	0.7549058	0.0024928	0.0638489	0.2276436	0.7617846	0.3748067	0.1719637	0.6602283
300	0.6950454	0.6781711	0.0007972	0.0870625	0.1909366	0.6830785	0.3322796	0.2431436	0.7557874
350	0.5812821	0.5866133	0.0037236	0.0570249	0.3284967	0.6329254	0.3519762	0.1954491	0.8249581
400	0.6955924	0.6505926	0.0052920	0.0369370	0.2292612	0.6557965	0.2423623	0.1818169	0.8438110
450	0.7230491	0.6221445	0.0066173	0.0648412	0.2497739	0.6506771	0.3014297	0.1633028	0.7157700
500	0.8039740	0.6835138	0.0045893	0.0640237	0.3271039	0.7419913	0.2593770	0.1761461	0.7437842
550	0.6313250	0.5722181	0.0445640	0.0606122	0.2372196	0.6589015	0.2223871	0.1616082	0.7400954
600	0.6884354	0.5693172	0.0373082	0.0591986	0.2722482	0.6798327	0.2498967	0.1534434	0.6884717
650	0.6664394	0.5468971	0.0376174	0.0692903	0.2308516	0.7810676	0.2169983	0.1402456	0.7419956
700	0.6502642	0.5588119	0.0392721	0.1240129	0.2777270	0.5988728	0.3459026	0.1793448	0.8866809
750	0.7744265	0.6175526	0.0479902	0.0776336	0.2777919	0.7616332	0.2328641	0.1536095	0.8247624
800	0.6625551	0.5425825	0.0307142	0.0686079	0.2651013	0.7279660	0.3267586	0.1805162	0.7002000
850	0.5630564	0.5544601	0.0280120	0.0558596	0.2443463	0.8020497	0.2971221	0.1365861	0.7763994
900	0.6277369	0.4828676	0.0297135	0.1001620	0.3824658	0.6183721	0.2585760	0.2246322	0.8168596
950	0.6941088	0.5812746	0.0390386	0.0999598	0.2843361	0.8387063	0.2635346	0.2463973	0.7137047
1000	0.8528360	0.4791842	0.0395096	0.0766232	0.2055528	0.7059237	0.3940656	0.1965362	0.8241200

0	0.8219286	0.5614141	0.0645467	0.0478133	0.1822260	0.8425551	0.2697395	0.1515395	0.8651478
50	0.7023202	0.4424752	0.0544146	0.0402165	0.1800901	0.7572899	0.3059315	0.0456357	0.6233973
100	0.6761387	0.2919295	0.0486127	0.0433877	0.3144418	0.6380952	0.2611468	0.0313967	0.7620100
150	0.7285968	0.4217436	0.0397009	0.0289624	0.2718258	0.6241344	0.3345169	0.0281541	0.5999463
200	0.6200838	0.5276184	0.0474006	0.0213683	0.2320803	0.7827645	0.3012836	0.0040020	0.8177755
250	0.7279326	0.4389103	0.0723119	0.0312208	0.1753935	0.6650254	0.2777603	0.0074166	0.7068224
300	0.6954375	0.3704907	0.0399446	0.0185997	0.2985436	0.7225481	0.2834603	0.0112963	0.7520005
350	0.7512891	0.3311637	0.0589172	0.0259871	0.2465908	0.7451004	0.2556528	0.0056778	0.6624153
400	0.7422636	0.3561684	0.0533462	0.0569058	0.2451574	0.5668721	0.2731948	0.0092901	0.6461502
450	0.6752310	0.4463485	0.1179535	0.0214212	0.3211589	0.7410768	0.1745004	0.0034370	0.7733715
500	0.6670077	0.3139780	0.0481900	0.0279922	0.2715393	0.7521227	0.2803346	0.0243070	0.6830409
550	0.8009835	0.4244024	0.0964547	0.0454643	0.2965932	0.6880109	0.2885104	0.1207893	0.7678880
600	0.7758847	0.4193833	0.0679474	0.0716870	0.2179376	0.6878013	0.2317966	0.0962144	0.8042785
650	0.7179305	0.5422363	0.0326999	0.0601562	0.2725194	0.7608244	0.2197764	0.1398677	0.7558525
700	0.6654252	0.4678398	0.0419860	0.0750494	0.1968964	0.7741021	0.2717854	0.1895218	0.7936800
750	0.7235581	0.5599156	0.0565603	0.0538458	0.2439598	0.7422038	0.3473775	0.1458768	0.5873813
800	0.7080007	0.4754335	0.0410134	0.0640631	0.2404883	0.6091195	0.2231781	0.1894348	0.7134205
850	0.8026451	0.5543890	0.0238602	0.0598804	0.3329871	0.5296695	0.2944685	0.1782927	0.8176606
900	0.7038202	0.4675942	0.0322084	0.0592803	0.2475540	0.7052421	0.2565810	0.1887930	0.7436539
950	0.6214988	0.5470564	0.0440256	0.0667555	0.2493061	0.6610240	0.2724576	0.2002849	0.8559195
1000	0.9170325	0.4278748	0.0379690	0.0982928	0.2375550	0.8142347	0.3005302	0.1575417	0.7827846

0	0.7839631	0.5992720	0.0468984	0.1052836	0.2055457	0.6549268	0.2600615	0.1431861	0.8703935
50	0.7288537	0.5526775	0.0000000	0.0700287	0.2056147	0.7316047	0.1916895	0.1685559	0.3945757
100	0.6897780	0.6620515	0.0009532	0.1655849	0.3781399	0.5265096	0.2834255	0.4677534	0.3319755
150	0.7074396	0.6884312	0.0077892	0.3615217	0.3886033	0.3711764	0.3737922	0.6352174	0.2303334
200	0.6035046	0.7361492	0.0001139	0.3792834	0.5552627	0.2466918	0.3408965	0.7364112	0.3151372
250	0.8463758	0.6151281	0.0020718	0.3898083	0.4568758	0.3235690	0.3657524	0.6258594	0.2473389
300	0.7935730	0.5658136	0.0019459	0.4081225	0.5051001	0.1700129	0.3380578	0.7027322	0.3197526
350	0.7055368	0.4303070	0.0000239	0.4691974	0.6165681	0.2475152	0.4581263	0.6688316	0.2810763
400	0.6660991	0.6892578	0.0063707	0.4152968	0.4368510	0.2901075	0.4715733	0.7363201	0.2405459
450	0.6330836	0.6150662	0.0012131	0.4030881	0.5299733	0.2003788	0.4314499	0.7708848	0.2654186
500	0.7625304	0.5572102	0.0022426	0.5607793	0.5761548	0.2160254	0.3658522	0.6598531	0.2525157
550	0.8250311	0.3952467	0.0844452	0.2770585	0.3242265	0.4616318	0.5241788	0.5255794	0.5578775
600	0.8138662	0.4593242	0.0860022	0.2837502	0.2700969	0.6286055	0.4106284	0.3670438	0.6187185
650	0.7389272	0.3942890	0.1285617	0.0927682	0.2713843	0.5893038	0.3967742	0.2742466	0.6446740
700	0.6922126	0.4761409	0.0497859	0.0486195	0.1735250	0.7314839	0.2798942	0.2023600	0.8005825
750	0.8468240	0.4220417	0.0485611	0.1148545	0.1835560	0.7999861	0.2557120	0.1593045	0.6779302
800	0.7695201	0.5618046	0.0700856	0.0918921	0.2274395	0.7211839	0.2495231	0.1652057	0.6526400
850	0.8586230	0.4274491	0.0807855	0.0788929	0.1726048	0.8489797	0.2148048	0.1311539	0.7398456
900	0.7968457	0.4540553	0.0426671	0.0584199	0.1962270	0.7272487	0.2570014	0.1231268	0.7221825
950	0.8047835	0.4932091	0.0388614	0.0803393	0.2096318	0.7135710	0.2324718	0.1118492	0.6764638
1000	0.7094475	0.4955931	0.0391143	0.0686552	0.2885491	0.7155992	0.2419929	0.0837346	0.8510203

0	0.8129671	0.5271913	0.0960537	0.0545041	0.2769344	0.7155928	0.3019801	0.1630341	0.7934654
50	0.7800460	0.4685575	0.0861325	0.0536758	0.2808178	0.7814368	0.4312360	0.2757086	0.6513351
100	0.7627777	0.3718214	0.0532956	0.0599466	0.2079797	0.7249800	0.3469414	0.2399263	0.7228400
150	0.7589725	0.4909998	0.0726131	0.0364151	0.2384281	0.6885125	0.2295426	0.1590992	0.7670076
200	0.6389054	0.4617635	0.0243765	0.0531358	0.3212821	0.8437221	0.4104287	0.1440025	0.7043969
250	0.8300144	0.4607824	0.0276075	0.0819019	0.2746419	0.6292904	0.2538857	0.1809809	0.5282326
300	0.6061696	0.5448023	0.0561964	0.1030507	0.2067819	0.6685818	0.3663808	0.2759620	0.6997283
350	0.7430410	0.6177361	0.0522288	0.0917468	0.2580697	0.6157402	0.2545680	0.2240219	0.6865738
400	0.6840865	0.4494336	0.0417207	0.0851450	0.2098366	0.6552786	0.2773158	0.1894646	0.6695092
450	0.6652374	0.4806547	0.0214735	0.0800520	0.2822708	0.7380675	0.2933972	0.1582244	0.6649119
500	0.6861189	0.3741670	0.0331907	0.0643577	0.2427914	0.7819108	0.2237455	0.1989843	0.7172829
550	0.7260554	0.5542018	0.1026908	0.1064061	0.2541847	0.7183711	0.3727710	0.1788033	0.6469416
600	0.7772773	0.6013816	0.0444348	0.0836344	0.2177048	0.7269539	0.2891814	0.1421105	0.7858750
650	0.6465272	0.4871554	0.0431818	0.0546822	0.2179116	0.6804852	0.3726719	0.1699442	0.6112039
700	0.7164725	0.5512774	0.0537084	0.0702090	0.2492780	0.6104532	0.2969509	0.1366176	0.5699018
750	0.7205918	0.5022631	0.0372139	0.0787206	0.1980436	0.5897891	0.2476073	0.1441045	0.6600231
800	0.9185059	0.6643487	0.0697845	0.0889565	0.2175893	0.6641965	0.3351535	0.1222232	0.6334884
850	0.7780096	0.6385774	0.0147883	0.0704432	0.2029619	0.7386882	0.2050873	0.1066572	0.6552354
900	0.8522491	0.3932624	0.0604153	0.0766967	0.2373659	0.6766929	0.2227823	0.1684396	0.7003004
950	0.6878720	0.4847040	0.0493840	0.0563994	0.2667687	0.7298849	0.2163402	0.1992617	0.8567656
1000	0.5328898	0.4298040	0.0358498	0.0862687	0.2675585	0.7353990	0.2096663	0.1328069	0.7274416

0	0.8100848	0.5447782	0.0468140	0.0630888	0.2256651	0.7945359	0.3114692	0.1456106	0.8270129
50	0.6873349	0.6890083	0.0000723	0.0478644	0.1544061	0.7538077	0.2646591	0.0996849	0.6202901
100	0.7101325	0.6497036	0.0008024	0.0640643	0.0719240	0.7150255	0.3250772	0.1430770	0.7297231
150	0.7461214	0.6834693	0.0026496	0.0385032	0.1194159	0.7038992	0.3465007	0.1379471	0.7103590
200	0.6381931	0.7771931	0.0025724	0.0543793	0.1017142	0.7079311	0.3235967	0.2217261	0.6950348
250	0.6706248	0.7236591	0.0024807	0.0415400	0.0916488	0.8012641	0.3893900	0.1926646	0.6656661
300	0.7292370	0.6183968	0.0047494	0.0356330	0.0686334	0.6804290	0.1521840	0.1211803	0.8400562
350	0.8812985	0.7692368	0.0031993	0.0253452	0.0933266	0.7942661	0.2419034	0.2040226	0.6801064
400	0.7918789	0.6778372	0.0021334	0.0814318	0.1513837	0.6575057	0.2953358	0.1879841	0.7935410
450	0.6770071	0.8448629	0.0000519	0.0332881	0.0731557	0.7742607	0.3036242	0.1320556	0.9031633
500	0.8063809	0.5759667	0.0021040	0.0560087	0.0766597	0.6345663	0.2936835	0.1765976	0.7623793
550	0.8299361	0.6553243	0.0523404	0.0654969	0.1918810	0.7561560	0.2383711	0.1207451	0.6274571
600	0.7097065	0.5667561	0.0697436	0.0487116	0.1875949	0.7232691	0.3211117	0.1723125	0.6317504
650	0.6286752	0.4947577	0.0506788	0.0848708	0.2345232	0.6977725	0.3814206	0.1941266	0.6215059
700	0.6395692	0.5246062	0.0480886	0.0615324	0.2155984	0.7968199	0.2628609	0.1953494	0.5342484
750	0.7593272	0.5978764	0.0298919	0.0995263	0.2474648	0.7618856	0.2718683	0.1937168	0.8077775
800	0.7352350	0.5160695	0.0174868	0.0923907	0.3213007	0.6612096	0.2386839	0.1680447	0.7807881
850	0.8834901	0.4899639	0.0645128	0.0908709	0.2526647	0.6542121	0.2691576	0.1203300	0.6977082
900	0.8767448	0.5654711	0.0631686	0.0402027	0.2458633	0.6476800	0.2662420	0.0974926	0.6662654
950	0.7327518	0.4730025	0.0331111	0.0291392	0.2160685	0.6672077	0.2974917	0.1799195	0.7280658
1000	0.7491875	0.5299779	0.0314470	0.1071241	0.2026880	0.6383670	0.2803754	0.1842207	0.7061309

0	0.8357665	0.7035922	0.0745274	0.0537432	0.2908818	0.6485591	0.2871233	0.1358373	0.7932857
50	0.2663846	0.4207472	0.0045034	0.0733104	0.2590967	0.7950239	0.1679473	0.1626648	0.8664719
100	0.3275730	0.6291397	0.0081596	0.0802328	0.6061057	0.7796487	0.2166998	0.1175480	0.6959384
150	0.3139102	0.6693329	0.0062383	0.0398274	0.5147210	0.6903372	0.2531549	0.1804794	0.7774176
200	0.3015081	0.5531098	0.0042730	0.1035660	0.5856453	0.8172024	0.3466104	0.1313103	0.6854564
250	0.2502745	0.6002345	0.0020122	0.0765259	0.5664651	0.6478758	0.1947683	0.1643307	0.6600206
300	0.2434420	0.6483101	0.0055895	0.0865753	0.5348976	0.7371912	0.2610287	0.1516928	0.7953634
350	0.2470520	0.4821868	0.0003360	0.0607024	0.6375739	0.6816204	0.3193001	0.1923579	0.6648227
400	0.2652624	0.4601619	0.0303730	0.0582242	0.5646497	0.8412918	0.3658564	0.1507123	0.7732223
450	0.3278944	0.4536525	0.0072558	0.0662806	0.5715483	0.6010834	0.2889718	0.2201528	0.7189193
500	0.2793609	0.4711309	0.0105290	0.0424905	0.5486162	0.8399525	0.2928355	0.1270740	0.5925456
550	0.6338361	0.4674352	0.0388286	0.1020147	0.4113979	0.8339688	0.3116300	0.1457317	0.7469992
600	0.6474043	0.3362931	0.0403102	0.0816173	0.2765367	0.6125677	0.3316667	0.1563915	0.5928666
650	0.6545074	0.4078563	0.0552974	0.0675647	0.2493653	0.7564998	0.3628036	0.2059544	0.6209242
700	0.6986341	0.4354748	0.0607074	0.1160357	0.2875003	0.5920975	0.2752402	0.2161668	0.7554544
750	0.7014085	0.4486050	0.0400312	0.0495705	0.2485317	0.7718313	0.2404208	0.1319411	0.6685001
800	0.6575603	0.4565275	0.0563366	0.0380703	0.1864432	0.7991818	0.2638705	0.1718917	0.7528274
850	0.8163691	0.6682982	0.0583502	0.0458920	0.2310418	0.7884250	0.3077483	0.1373803	0.5956605
900	0.7908889	0.6079454	0.0237438	0.0736855	0.1847919	0.6639931	0.2527226	0.1414318	0.6463174
950	0.6750630	0.6082042	0.0589305	0.0604703	0.2277762	0.7397872	0.3554309	0.1626528	0.5394264
1000	0.6970601	0.4376148	0.0398865	0.0566341	0.1820175	0.7215688	0.2689548	0.1602837	0.9007671

0	0.8767257	0.5738082	0.0959650	0.0649144	0.2671848	0.7204497	0.3167100	0.1479933	0.9050815
50	0.6354404	0.4698763	0.0315087	0.0903079	0.2942641	0.6775019	0.2011430	0.3537246	0.3856694
100	0.7023826	0.6085740	0.0534221	0.2007703	0.3521200	0.4784048	0.2517993	0.5446320	0.3436896
150	0.6899582	0.5802117	0.0254222	0.2920523	0.4231818	0.4083354	0.2896746	0.4952656	0.3292903
200	0.7597135	0.5125901	0.0438600	0.2850419	0.5448950	0.3079739	0.3414583	0.6258865	0.2585329
250	0.8138904	0.3703821	0.0796485	0.3638978	0.4093566	0.2999466	0.3258582	0.7214068	0.3441974
300	0.6300586	0.4793614	0.0503551	0.3857736	0.4278188	0.4110892	0.3262796	0.6028792	0.2883961
350	0.6674486	0.3062441	0.0629073	0.3431588	0.5316010	0.3043760	0.3449040	0.6909473	0.3228533
400	0.6651134	0.4036595	0.0767353	0.4431736	0.5739122	0.3058141	0.2659300	0.8058849	0.3787389
450	0.7612622	0.4165145	0.0723465	0.4271614	0.5427967	0.3529500	0.3595990	0.7237861	0.2983363
500	0.7485831	0.3761694	0.0453840	0.4148670	0.5236969	0.1858099	0.2966290	0.6770891	0.3628138
550	0.6994655	0.2697428	0.0755511	0.3075528	0.4136394	0.4855285	0.5764527	0.4686920	0.5151768
600	0.6267537	0.3310683	0.0275536	0.1680421	0.2899407	0.5971783	0.3935345	0.3578142	0.6335389
650	0.7506630	0.3919728	0.0416827	0.1031488	0.2725784	0.7533767	0.2874483	0.2405952	0.6836937
700	0.7736066	0.3954906	0.1011705	0.0571424	0.2010831	0.7928778	0.2699623	0.1760412	0.7314533
750	0.8418942	0.3618643	0.0720814	0.0794979	0.2401787	0.7349295	0.3995359	0.2444086	0.6649445
800	0.7579542	0.4380828	0.0556258	0.0934860	0.2622815	0.6562715	0.3143108	0.3022882	0.6367356
850	0.8042615	0.4214085	0.0307765	0.1086305	0.2922968	0.6734080	0.3839063	0.1371784	0.6197218
900	0.6712998	0.4638891	0.0674046	0.0569609	0.2400236	0.5695799	0.1830203	0.1465636	0.7004347
950	0.7734707	0.4910466	0.0515952	0.0555422	0.2547158	0.5304011	0.2901506	0.1455121	0.7224675
1000	0.5618604	0.4486290	0.0347072	0.0600091	0.2550558	0.5748393	0.2278466	0.1217250	0.7376563
